Bassein Fort
Belapur Fort
Bombay Castle
Castella de Aguada
Dongri Fort
Fort George, Bombay
Ghodbunder Fort
Madh Fort
Mahim Fort
Mazagon Fort
Riwa Fort
Sewri Fort
Sion Hillock Fort
Worli Fort
Vasai Fort
